sex,has_photo,has_mobile,followers_count,graduation,education_form,relation,education_status,langs,life_main,people_main,occupation_type,career_start,career_end,result,age,num_langs
male,0,1.0,12.0,2010.0,Full-time,0.0,Alumnus (Specialist),Українська,0,0,university,False,False,0,37.0,1
male,0,1.0,66.0,2012.0,Full-time,4.0,PhD,Українська,0,0,work,2004,False,0,37.0,1
female,1,1.0,724.0,2012.0,Full-time,4.0,Student (Bachelor's),Українська,1,1,work,2018,False,1,34.0,1
male,0,1.0,62.0,2021.0,,0.0,Student (Bachelor's),Українська;Русский;Deutsch,1,6,university,2003,False,0,36.0,3
female,1,1.0,325.0,2008.0,Full-time,0.0,Alumnus (Specialist),Українська,0,0,work,False,False,1,39.0,1
male,0,1.0,7.0,2002.0,Full-time,1.0,Alumnus (Specialist),False,0,2,university,False,False,0,44.0,1
female,0,1.0,374.0,0.0,Full-time,1.0,Alumnus (Master's),Українська,6,2,university,False,False,1,37.0,1
male,1,1.0,21.0,2009.0,Distance Learning,4.0,Student (Bachelor's),Українська,False,False,work,2006,False,0,39.0,1
male,1,1.0,70.0,2008.0,Distance Learning,0.0,Alumnus (Specialist),False,False,False,work,2005,False,0,37.0,1
male,1,1.0,44.0,2014.0,Full-time,0.0,Student (Bachelor's),Українська,False,False,work,2014,False,1,37.0,1
male,1,1.0,111.0,2009.0,Full-time,4.0,Alumnus (Specialist),False,False,False,work,False,False,0,38.0,1
male,1,1.0,13.0,2015.0,Full-time,0.0,Alumnus (Master's),Українська;Русский;English,0,0,university,False,False,1,37.0,3
female,0,1.0,626.0,2014.0,Part-time,6.0,Student (Specialist),Українська,0,0,university,2010,2020,1,34.0,1
female,0,1.0,135.0,2002.0,,0.0,Alumnus (Specialist),Українська,6,2,university,False,False,1,37.0,1
female,0,1.0,250.0,1993.0,Full-time,4.0,Alumnus (Specialist),Українська,1,2,university,False,False,1,53.0,1
female,0,1.0,245.0,2012.0,Full-time,0.0,Alumnus (Specialist),False,False,False,university,False,False,1,35.0,1
male,1,1.0,8.0,0.0,Distance Learning,4.0,Student (Specialist),Українська,False,False,university,False,False,0,37.0,1
male,0,1.0,142.0,0.0,Full-time,0.0,Student (Specialist),Українська,False,2,university,False,False,0,37.0,1
male,0,1.0,322.0,2012.0,Distance Learning,4.0,Alumnus (Specialist),Українська,5,2,work,2009,False,0,37.0,1
male,1,1.0,137.0,2008.0,Full-time,4.0,Alumnus (Specialist),Українська,0,6,university,False,False,0,40.0,1
male,1,1.0,124.0,2011.0,,4.0,Alumnus (Specialist),Українська,1,2,work,False,False,0,38.0,1
female,0,1.0,587.0,2010.0,Full-time,0.0,Alumnus (Specialist),Українська,False,False,work,2005,False,1,37.0,1
male,0,1.0,18.0,2005.0,Full-time,5.0,Alumnus (Specialist),False,False,False,university,2006,2008,1,42.0,1
male,1,1.0,124.0,1982.0,Full-time,4.0,Alumnus (Specialist),Українська,1,0,work,False,False,0,37.0,1
male,1,1.0,1066.0,2010.0,Distance Learning,4.0,Student (Bachelor's),Українська,2,6,university,2006,2009,0,40.0,1
male,0,1.0,59.0,2005.0,Distance Learning,0.0,Alumnus (Specialist),Українська,False,False,university,False,False,0,41.0,1
male,1,1.0,452.0,2012.0,Full-time,4.0,Alumnus (Master's),Українська;English,0,0,university,False,False,0,37.0,2
female,1,1.0,2786.0,2014.0,Full-time,3.0,Student (Bachelor's),False,6,5,university,False,False,1,122.0,1
male,1,1.0,77.0,2010.0,Distance Learning,0.0,Student (Specialist),False,False,False,work,False,False,0,46.0,1
male,0,1.0,2760.0,2008.0,Full-time,0.0,Alumnus (Specialist),False,False,False,university,2006,2007,1,40.0,1
female,1,1.0,4152.0,2010.0,Part-time,4.0,Alumnus (Specialist),False,5,2,work,1988,False,1,37.0,1
female,0,1.0,481.0,2016.0,Full-time,4.0,Student (Bachelor's),False,4,1,work,2016,False,1,37.0,1
female,0,1.0,452.0,2008.0,Full-time,4.0,Alumnus (Bachelor's),Українська,False,False,university,False,False,1,40.0,1
male,0,1.0,25.0,1993.0,Full-time,4.0,Alumnus (Specialist),Українська,1,2,work,2002,False,0,37.0,1
male,1,1.0,55.0,2012.0,Distance Learning,1.0,Student (Specialist),Українська,0,0,work,2006,False,0,37.0,1
male,1,1.0,103.0,2006.0,Full-time,0.0,Student (Specialist),Українська,False,False,university,False,False,0,36.0,1
male,0,1.0,44.0,1999.0,Full-time,0.0,Alumnus (Specialist),Українська;English,4,2,university,False,False,0,50.0,2
female,1,1.0,307.0,2016.0,Full-time,2.0,Student (Bachelor's),Українська,1,6,university,False,False,1,37.0,1
female,1,1.0,371.0,2005.0,Full-time,0.0,Alumnus (Specialist),Українська,False,False,university,False,False,1,37.0,1
male,1,1.0,66.0,2013.0,Distance Learning,1.0,Alumnus (Specialist),Українська;Русский;Polski;English,6,2,university,False,False,0,37.0,4
female,0,1.0,181.0,2008.0,Full-time,1.0,Alumnus (Specialist),Українська,1,5,university,2009,2018,0,39.0,1
female,1,1.0,37.0,2019.0,,0.0,Alumnus (Master's),Українська;English;Français,0,0,university,False,False,1,29.0,3
male,0,1.0,192.0,2012.0,Full-time,0.0,Alumnus (Specialist),False,0,0,university,False,False,0,37.0,1
male,1,1.0,98.0,2003.0,Full-time,4.0,Alumnus (Master's),False,0,0,university,False,False,0,44.0,1
female,0,1.0,158.0,2007.0,Full-time,7.0,Alumnus (Bachelor's),Українська;日本語,6,2,university,False,False,1,37.0,2
male,1,1.0,246.0,2005.0,Full-time,4.0,Alumnus (Specialist),Українська,0,0,work,False,False,0,43.0,1
male,0,1.0,0.0,1996.0,Full-time,4.0,Alumnus (Specialist),Українська;English,6,2,university,False,False,0,37.0,2
male,1,1.0,16.0,0.0,Full-time,0.0,Student (Bachelor's),Українська;Deutsch,1,2,university,False,False,0,37.0,2
female,1,1.0,383.0,0.0,Full-time,0.0,Alumnus (Bachelor's),False,0,0,university,False,False,1,32.0,1
female,1,1.0,261.0,2017.0,Full-time,0.0,Student (Bachelor's),English;Українська;Français,6,6,university,False,False,1,31.0,3
male,0,1.0,261.0,0.0,Full-time,0.0,Student (Bachelor's),False,6,1,university,False,False,0,37.0,1
male,1,1.0,1342.0,2007.0,Full-time,1.0,Alumnus (Specialist),Українська,7,2,work,2009,False,1,44.0,1
female,0,1.0,1486.0,2007.0,Distance Learning,1.0,Alumnus (Bachelor's),Українська,1,2,university,2007,2007,1,46.0,1
male,1,1.0,118.0,2011.0,Full-time,0.0,Student (Specialist),False,5,0,university,False,False,0,37.0,1
female,0,1.0,586.0,0.0,Full-time,7.0,Student (Specialist),Українська,6,5,work,2014,False,1,29.0,1
female,0,1.0,682.0,2010.0,Full-time,4.0,Alumnus (Specialist),Українська;English,0,0,university,False,False,1,37.0,2
male,1,1.0,115.0,2013.0,,0.0,Alumnus (Specialist),Українська,0,0,university,False,False,0,37.0,1
female,0,1.0,2821.0,2009.0,Full-time,0.0,Alumnus (Specialist),Українська;Deutsch;English,0,0,work,2009,False,1,37.0,3
male,0,1.0,100.0,2016.0,Distance Learning,0.0,PhD,Українська,5,5,university,2013,2017,0,37.0,1
male,1,1.0,394.0,2018.0,Full-time,0.0,Alumnus (Bachelor's),Українська;English,0,0,university,False,False,0,37.0,2
male,0,1.0,51.0,2007.0,Distance Learning,4.0,Alumnus (Specialist),Українська,4,6,university,False,False,0,43.0,1
female,0,1.0,256.0,2016.0,Distance Learning,0.0,Alumnus (Bachelor's),False,False,False,work,False,False,1,32.0,1
female,0,1.0,320.0,2008.0,Full-time,0.0,Alumnus (Specialist),False,False,False,work,2008,False,1,37.0,1
male,0,1.0,53.0,2012.0,Distance Learning,0.0,Student (Specialist),Українська,6,2,university,False,False,0,34.0,1
male,0,1.0,82.0,2012.0,Full-time,0.0,Student (Specialist),Українська,False,False,work,2013,False,0,37.0,1
male,0,1.0,78.0,2012.0,Part-time,1.0,Student (Bachelor's),Українська,False,False,university,2007,2010,0,37.0,1
male,0,1.0,391.0,0.0,Full-time,7.0,PhD,Українська,1,2,university,False,False,0,34.0,1
male,0,1.0,164.0,2013.0,Full-time,0.0,Alumnus (Specialist),Українська;English;Русский,0,0,university,False,False,0,37.0,3
female,1,1.0,2098.0,2018.0,,0.0,Student (Bachelor's),False,0,0,work,2004,False,1,33.0,1
female,1,1.0,164.0,2006.0,Distance Learning,0.0,Student (Specialist),Українська,1,6,university,False,False,1,37.0,1
male,1,1.0,255.0,0.0,Part-time,0.0,Student (Specialist),Українська;English;Lietuvių;Буряад,6,1,university,False,False,0,37.0,4
female,0,1.0,348.0,0.0,Part-time,4.0,Alumnus (Bachelor's),Українська,1,2,work,2005,False,1,37.0,1
female,0,1.0,279.0,2014.0,Full-time,0.0,Alumnus (Specialist),False,0,0,university,False,False,1,37.0,1
female,0,1.0,168.0,2000.0,Full-time,4.0,Alumnus (Specialist),Українська,False,False,university,False,False,1,37.0,1
female,1,1.0,1106.0,2015.0,Full-time,1.0,Student (Bachelor's),Українська;English;Čeština;Polski;Українська,1,1,university,False,False,1,37.0,5
male,1,1.0,489.0,2016.0,Distance Learning,0.0,Student (Specialist),Українська,6,6,university,False,False,0,34.0,1
female,0,1.0,95.0,2015.0,Full-time,0.0,Alumnus (Specialist),Українська,0,0,work,False,False,1,32.0,1
male,0,1.0,248.0,2014.0,Full-time,0.0,Student (Master's),False,False,False,university,False,False,0,33.0,1
male,0,1.0,204.0,2012.0,Full-time,0.0,Student (Bachelor's),Українська,6,2,university,False,False,0,37.0,1
female,0,1.0,942.0,2008.0,Full-time,0.0,Alumnus (Specialist),Українська,1,6,work,2008,False,1,40.0,1
female,0,1.0,302.0,2015.0,Full-time,1.0,Alumnus (Bachelor's),Українська,0,0,university,False,False,1,31.0,1
female,0,1.0,884.0,2014.0,Full-time,4.0,Student (Specialist),Українська,0,2,university,False,False,1,33.0,1
male,0,1.0,221.0,2014.0,Full-time,4.0,Student (Specialist),Українська,6,5,work,2014,False,0,34.0,1
male,0,1.0,234.0,2010.0,Full-time,4.0,Student (Specialist),Українська,False,False,work,2011,2010,0,37.0,1
female,0,1.0,183.0,2005.0,Full-time,0.0,Alumnus (Specialist),Українська,False,False,university,2008,2011,1,43.0,1
male,0,1.0,0.0,2014.0,Full-time,7.0,Student (Specialist),Українська,5,2,work,2013,False,0,34.0,1
male,0,1.0,10.0,2007.0,Full-time,4.0,PhD,Українська,1,2,university,False,False,0,38.0,1
female,0,1.0,266.0,2009.0,Distance Learning,4.0,Alumnus (Specialist),Українська,1,2,university,False,False,1,37.0,1
female,1,1.0,346.0,2010.0,Full-time,4.0,Alumnus (Master's),Українська,0,0,university,False,False,1,38.0,1
male,0,1.0,66.0,2011.0,Full-time,4.0,Student (Bachelor's),False,False,False,university,False,False,0,37.0,1
male,0,1.0,99.0,0.0,Full-time,2.0,Alumnus (Specialist),Українська,0,2,work,False,False,0,37.0,1
female,1,1.0,188.0,2007.0,Full-time,0.0,Alumnus (Bachelor's),Українська,False,False,university,False,False,1,37.0,1
male,1,1.0,25.0,2010.0,Full-time,0.0,Student (Specialist),Українська,False,False,university,False,False,1,37.0,1
female,1,1.0,96.0,2006.0,Distance Learning,0.0,Alumnus (Specialist),False,0,0,university,False,False,1,37.0,1
male,1,1.0,382.0,0.0,Distance Learning,4.0,Student (Bachelor's),Українська,5,1,work,False,False,0,32.0,1
male,0,1.0,339.0,2014.0,Full-time,4.0,Alumnus (Specialist),Українська,False,False,work,2010,False,0,35.0,1
female,1,1.0,394.0,2011.0,Full-time,4.0,Alumnus (Specialist),Українська;English,1,6,work,False,False,1,37.0,2
male,0,1.0,40.0,1990.0,Full-time,4.0,Alumnus (Specialist),Українська,False,False,university,False,False,0,37.0,1
female,0,1.0,230.0,0.0,Full-time,4.0,Alumnus (Specialist),Українська;English;Беларуская,1,2,university,False,False,1,37.0,3
male,0,1.0,181.0,0.0,Full-time,0.0,Undergraduate applicant,Українська;English,0,0,work,2008,2014,0,34.0,2
male,1,1.0,102.0,2001.0,Full-time,0.0,Alumnus (Specialist),False,6,2,university,2001,2020,0,47.0,1
female,1,1.0,3740.0,2013.0,Distance Learning,4.0,Undergraduate applicant,Українська,False,2,work,False,False,1,37.0,1
male,0,1.0,257.0,2014.0,Distance Learning,0.0,Alumnus (Specialist),False,False,False,university,2011,False,0,34.0,1
male,1,1.0,16.0,1997.0,Part-time,4.0,Alumnus (Master's),False,False,False,university,False,False,0,52.0,1
female,0,1.0,1506.0,2012.0,Full-time,1.0,Alumnus (Specialist),Українська;English,5,2,university,2005,2021,0,42.0,2
male,1,1.0,23.0,0.0,Full-time,4.0,Student (Specialist),Українська,1,1,university,False,False,0,40.0,1
male,1,1.0,74.0,2015.0,Full-time,4.0,Undergraduate applicant,Українська,3,6,university,False,False,0,37.0,1
female,0,1.0,511.0,2016.0,Full-time,0.0,Alumnus (Bachelor's),Українська;Русский,6,2,university,False,False,1,37.0,2
male,0,1.0,121.0,2009.0,Part-time,4.0,Alumnus (Specialist),False,False,False,university,1996,2015,0,50.0,1
female,0,1.0,672.0,2011.0,Full-time,4.0,Alumnus (Specialist),Українська,0,0,university,False,False,1,37.0,1
male,1,1.0,1.0,2014.0,Full-time,4.0,Alumnus (Specialist),Українська,6,5,work,2014,False,1,37.0,1
female,1,1.0,602.0,2010.0,Full-time,6.0,Alumnus (Bachelor's),Українська,0,0,university,False,False,1,36.0,1
female,0,1.0,643.0,2010.0,Part-time,1.0,Alumnus (Specialist),Українська,5,2,work,2005,False,1,41.0,1
female,1,1.0,110.0,2015.0,Full-time,0.0,Student (Specialist),Українська,0,0,university,False,False,1,32.0,1
male,1,1.0,233.0,2012.0,Full-time,4.0,Alumnus (Specialist),Українська;English,6,6,university,False,False,0,35.0,2
female,1,1.0,585.0,2015.0,Full-time,1.0,Alumnus (Master's),False,0,0,university,False,False,1,37.0,1
female,0,1.0,538.0,2019.0,Part-time,0.0,Alumnus (Bachelor's),Українська,0,0,university,False,False,1,29.0,1
male,1,1.0,135.0,2007.0,Full-time,0.0,Alumnus (Specialist),False,6,0,university,False,False,1,37.0,1
male,0,1.0,169.0,2009.0,Full-time,4.0,Alumnus (Specialist),False,0,0,university,False,False,0,38.0,1
male,1,1.0,34.0,0.0,Distance Learning,4.0,Student (Bachelor's),Українська,False,False,university,False,False,0,37.0,1
female,1,1.0,102.0,2013.0,,0.0,Alumnus (Specialist),False,False,False,university,2013,2020,1,37.0,1
female,1,1.0,113.0,2006.0,Part-time,4.0,Alumnus (Specialist),Українська,False,False,university,2005,False,0,37.0,1
male,1,1.0,40.0,2011.0,Full-time,4.0,Alumnus (Specialist),False,False,False,university,False,False,0,36.0,1
male,1,1.0,183.0,2006.0,Full-time,4.0,Alumnus (Specialist),Українська,1,2,work,2006,False,0,41.0,1
female,1,1.0,247.0,2015.0,,0.0,Alumnus (Specialist),Українська;English,5,2,university,False,False,1,37.0,2
female,0,1.0,140.0,2001.0,Full-time,4.0,Alumnus (Specialist),Українська,0,0,university,False,False,1,37.0,1
female,1,1.0,302.0,2010.0,Full-time,0.0,Alumnus (Specialist),False,1,6,university,False,False,1,37.0,1
male,0,1.0,68.0,2003.0,Full-time,4.0,Alumnus (Bachelor's),False,False,False,university,False,False,0,43.0,1
male,1,1.0,790.0,2015.0,Full-time,4.0,Student (Specialist),False,0,0,university,False,False,1,37.0,1
female,1,1.0,369.0,2017.0,Full-time,0.0,Alumnus (Bachelor's),False,0,0,university,False,False,1,29.0,1
female,1,1.0,195.0,2013.0,Distance Learning,0.0,Alumnus (Specialist),Українська,0,6,university,False,False,1,41.0,1
female,1,1.0,204.0,2002.0,Full-time,4.0,Alumnus (Specialist),False,False,False,university,False,False,1,45.0,1
male,1,1.0,294.0,2012.0,Distance Learning,1.0,Student (Specialist),False,0,0,university,False,False,0,103.0,1
male,0,1.0,146.0,2007.0,Full-time,0.0,Alumnus (Specialist),Українська;Русский,0,3,university,False,False,0,37.0,2
male,0,1.0,7290.0,2005.0,Full-time,1.0,Alumnus (Specialist),Українська;English,0,5,university,2006,2010,0,43.0,2
male,0,1.0,285.0,2016.0,Distance Learning,4.0,Student (Bachelor's),Українська,0,0,university,False,False,0,37.0,1
male,1,1.0,441.0,2012.0,Full-time,0.0,Alumnus (Master's),Українська;Беларуская;English,0,0,work,2021,False,1,37.0,3
female,1,1.0,459.0,2009.0,Full-time,0.0,Alumnus (Master's),Українська;Русский;English;Deutsch,False,False,work,False,2011,1,37.0,4
male,0,1.0,765.0,0.0,Full-time,0.0,Undergraduate applicant,Українська;Русский;English,6,1,university,False,False,0,37.0,3
female,1,1.0,94.0,2005.0,Distance Learning,0.0,Alumnus (Specialist),Українська,False,False,university,False,False,1,47.0,1
male,0,1.0,869.0,2007.0,Full-time,0.0,Alumnus (Specialist),Українська,6,2,university,False,False,1,41.0,1
male,0,1.0,74.0,2010.0,Full-time,4.0,Alumnus (Specialist),Українська,0,0,university,False,False,0,38.0,1
male,0,1.0,147.0,2009.0,Full-time,0.0,Student (Specialist),False,2,1,university,2008,2011,0,38.0,1
female,1,1.0,303.0,2007.0,Full-time,4.0,Alumnus (Specialist),False,False,False,university,False,False,1,37.0,1
female,1,1.0,158.0,2000.0,Distance Learning,1.0,Alumnus (Specialist),False,1,2,work,2006,False,1,48.0,1
male,1,1.0,200.0,2015.0,Full-time,1.0,Student (Bachelor's),Українська;English,0,2,university,False,False,0,32.0,2
male,0,1.0,235.0,2013.0,Full-time,1.0,Alumnus (Specialist),Українська,0,2,work,2010,False,1,35.0,1
female,0,1.0,1315.0,2014.0,Part-time,7.0,Alumnus (Specialist),Українська;English;Español,6,2,university,2009,2020,1,37.0,3
female,0,1.0,321.0,2014.0,Full-time,2.0,Student (Specialist),Українська;English,6,5,university,False,False,1,37.0,2
female,1,1.0,124.0,2012.0,Full-time,0.0,Student (Specialist),Українська,False,False,university,False,False,1,33.0,1
male,1,1.0,264.0,2013.0,Full-time,4.0,Student (Specialist),Українська,6,2,university,False,False,0,35.0,1
male,1,1.0,216.0,2017.0,Full-time,4.0,Student (Bachelor's),Українська,0,0,work,False,False,0,37.0,1
female,1,1.0,294.0,2009.0,Full-time,4.0,Alumnus (Specialist),Українська,6,2,work,2009,False,1,37.0,1
female,1,1.0,555.0,2010.0,Full-time,0.0,Student (Specialist),Українська,0,0,university,False,False,1,38.0,1
male,0,1.0,295.0,2014.0,Full-time,0.0,PhD,Українська;English,0,0,work,2021,False,0,37.0,2
female,1,1.0,168.0,2011.0,Full-time,4.0,Alumnus (Bachelor's),Українська,0,2,university,False,False,1,36.0,1
female,0,1.0,231.0,2006.0,Full-time,0.0,Alumnus (Specialist),Українська,0,0,university,False,False,1,45.0,1
male,0,1.0,44.0,2013.0,Distance Learning,1.0,Student (Specialist),Українська,0,0,university,False,False,0,36.0,1
female,1,1.0,856.0,2016.0,Full-time,0.0,Student (Bachelor's),Українська,False,False,university,False,False,1,31.0,1
female,1,1.0,288.0,2011.0,Full-time,4.0,Student (Specialist),Українська,0,0,university,False,False,1,37.0,1
male,1,1.0,398.0,2013.0,Full-time,7.0,Student (Specialist),Українська,3,6,work,2011,False,0,34.0,1
male,1,1.0,128.0,2009.0,Full-time,0.0,Alumnus (Master's),False,False,False,university,False,False,1,38.0,1
female,0,1.0,286.0,2018.0,,0.0,Alumnus (Master's),False,0,0,university,False,False,1,34.0,1
female,1,1.0,125.0,1984.0,Full-time,0.0,Candidate of Sciences,False,False,False,work,1987,False,1,37.0,1
male,0,1.0,95.0,2006.0,Full-time,4.0,Alumnus (Specialist),False,False,False,university,False,False,1,37.0,1
female,1,1.0,33.0,2003.0,Distance Learning,4.0,Alumnus (Specialist),Українська,False,False,university,False,False,0,105.0,1
female,1,1.0,388.0,2008.0,,4.0,Alumnus (Specialist),False,False,False,university,False,False,1,37.0,1
male,0,1.0,161.0,2014.0,Full-time,0.0,Alumnus (Specialist),English;Українська,0,5,work,2017,False,0,34.0,2
female,1,1.0,1440.0,2020.0,Full-time,0.0,Student (Specialist),Українська;English,1,2,university,2010,False,1,30.0,2
female,1,1.0,272.0,2010.0,Full-time,4.0,Alumnus (Specialist),False,5,6,university,False,False,1,37.0,1
male,1,1.0,1239.0,0.0,Full-time,0.0,Student (Bachelor's),Українська;English,0,0,work,False,False,1,37.0,2
male,0,1.0,50.0,2010.0,Full-time,0.0,Student (Specialist),Українська,False,False,university,False,False,0,37.0,1
female,0,1.0,227.0,2011.0,Full-time,0.0,Alumnus (Specialist),Українська,0,0,university,False,False,1,36.0,1
male,0,1.0,15.0,2008.0,Distance Learning,4.0,Alumnus (Specialist),False,False,False,university,False,False,0,41.0,1
female,0,1.0,960.0,0.0,Full-time,0.0,Candidate of Sciences,Українська,False,False,university,False,False,1,37.0,1
male,1,1.0,16.0,2014.0,Full-time,6.0,Student (Specialist),Українська,2,1,work,2012,False,0,34.0,1
male,0,1.0,67.0,2014.0,Full-time,4.0,Student (Bachelor's),Українська;English,1,6,university,2005,2008,0,35.0,2
male,0,1.0,21.0,2001.0,Full-time,1.0,Alumnus (Specialist),Українська;English,0,0,university,False,False,1,37.0,2
male,1,1.0,25.0,2006.0,Full-time,4.0,Alumnus (Specialist),Українська,5,6,university,False,False,1,41.0,1
male,1,1.0,176.0,2020.0,Distance Learning,4.0,PhD,Українська;अवधी;ဗမာစာ,1,6,university,2007,2008,0,35.0,3
female,0,1.0,393.0,2014.0,,0.0,Alumnus (Specialist),Українська,0,0,university,False,False,1,33.0,1
male,0,1.0,1.0,1978.0,Full-time,1.0,Alumnus (Specialist),False,False,False,university,1978,2004,0,37.0,1
female,1,1.0,352.0,2014.0,Full-time,0.0,Student (Specialist),False,False,False,,False,False,1,33.0,1
male,1,1.0,413.0,2011.0,Full-time,4.0,Undergraduate applicant,Українська,0,0,university,1955,2009,0,34.0,1
female,1,1.0,22.0,1997.0,Full-time,0.0,Alumnus (Specialist),False,False,False,university,False,False,1,37.0,1
female,1,1.0,472.0,2014.0,Full-time,1.0,Alumnus (Bachelor's),False,0,0,university,2019,False,1,32.0,1
female,0,1.0,151.0,2012.0,Full-time,0.0,Alumnus (Specialist),Українська,3,1,university,False,False,1,35.0,1
female,0,1.0,175.0,2008.0,Full-time,0.0,Alumnus (Specialist),False,0,0,university,False,False,0,37.0,1
female,1,1.0,79.0,2004.0,Full-time,1.0,Alumnus (Master's),Українська,0,0,university,False,False,1,37.0,1
male,1,1.0,52.0,2006.0,Full-time,1.0,Alumnus (Specialist),Українська;العربية;English,6,2,work,2015,False,0,44.0,3
male,1,1.0,25.0,2016.0,Distance Learning,2.0,Alumnus (Specialist),Українська,7,2,university,False,False,0,36.0,1
female,1,1.0,1010.0,2008.0,Distance Learning,0.0,Alumnus (Specialist),False,False,False,university,2003,2011,1,41.0,1
male,1,1.0,152.0,2012.0,Full-time,4.0,Student (Specialist),Українська,1,6,university,False,False,1,37.0,1
male,1,1.0,171.0,2004.0,Full-time,6.0,Alumnus (Specialist),False,1,6,work,2006,False,0,43.0,1
male,1,1.0,301.0,2012.0,Full-time,0.0,Alumnus (Bachelor's),English;Deutsch,6,2,work,2008,False,1,37.0,2
female,0,1.0,156.0,2014.0,Full-time,0.0,Student (Specialist),False,False,False,work,2018,False,1,37.0,1
female,1,1.0,816.0,2018.0,Full-time,0.0,Student (Bachelor's),Українська;Français,0,0,university,2018,False,1,29.0,2
male,1,1.0,140.0,2015.0,,4.0,Alumnus (Specialist),Українська,1,2,university,False,False,0,33.0,1
male,0,1.0,1210.0,2015.0,Distance Learning,1.0,Student (Bachelor's),Українська,1,6,work,2013,2013,1,37.0,1
male,1,1.0,186.0,2013.0,Full-time,1.0,Alumnus (Specialist),Українська;English;Deutsch,0,0,university,False,False,0,37.0,3
female,0,1.0,210.0,2016.0,Full-time,0.0,Student (Bachelor's),Українська;English,6,1,university,False,False,1,37.0,2
male,1,1.0,115.0,2010.0,Full-time,0.0,Alumnus (Specialist),False,0,0,university,False,False,0,37.0,1
male,1,1.0,137.0,2015.0,Full-time,0.0,Alumnus (Bachelor's),Українська;English,0,0,work,2017,False,0,37.0,2
female,1,1.0,2117.0,2013.0,Full-time,4.0,Student (Master's),Українська;Русский;English,1,2,university,2003,False,1,34.0,3
male,1,1.0,322.0,2011.0,Distance Learning,7.0,Alumnus (Specialist),Українська;English,6,2,university,False,False,0,37.0,2
female,1,1.0,311.0,2014.0,Distance Learning,0.0,Alumnus (Specialist),False,6,6,work,False,False,1,40.0,1
male,0,1.0,361.0,2012.0,Full-time,4.0,Student (Bachelor's),Українська,0,0,university,False,False,0,37.0,1
male,0,1.0,303.0,2011.0,Full-time,0.0,Alumnus (Specialist),Українська,False,False,university,False,False,0,36.0,1
male,1,1.0,159.0,2009.0,Full-time,4.0,Alumnus (Specialist),False,False,False,university,False,False,1,29.0,1
female,1,1.0,500.0,2013.0,Full-time,0.0,Alumnus (Specialist),Українська,False,False,university,2013,False,1,34.0,1
male,0,1.0,123.0,2013.0,Full-time,0.0,Student (Bachelor's),Українська,False,False,work,False,False,0,37.0,1
male,0,1.0,111.0,2014.0,Full-time,0.0,Student (Specialist),Українська,0,0,university,False,False,0,33.0,1
female,0,1.0,405.0,1992.0,Full-time,0.0,Alumnus (Specialist),Українська;Русский;English;Deutsch,1,2,university,False,False,1,37.0,4
female,1,1.0,350.0,0.0,Full-time,0.0,Alumnus (Specialist),Українська,0,0,university,False,False,1,37.0,1
male,0,1.0,355.0,2013.0,Full-time,4.0,Student (Specialist),Українська,1,2,work,2013,False,0,35.0,1
male,1,1.0,623.0,2013.0,Full-time,0.0,Alumnus (Specialist),Українська,0,0,university,False,False,1,35.0,1
male,1,1.0,183.0,2007.0,Part-time,4.0,Alumnus (Specialist),Українська;English,3,2,work,2007,False,0,39.0,2
male,1,1.0,195.0,2012.0,Full-time,0.0,Alumnus (Specialist),Українська,6,0,work,2016,False,1,37.0,1
male,0,1.0,291.0,2011.0,Full-time,0.0,PhD,False,6,2,work,2008,False,1,37.0,1
female,0,1.0,85.0,0.0,Full-time,0.0,Student (Specialist),False,0,0,university,False,False,1,34.0,1
male,1,1.0,183.0,2013.0,Full-time,1.0,Student (Specialist),Українська,0,0,university,False,False,1,37.0,1
female,0,1.0,244.0,2007.0,Full-time,0.0,Alumnus (Specialist),False,False,False,work,False,False,1,43.0,1
male,1,1.0,77.0,2013.0,Full-time,1.0,Student (Specialist),Українська,False,False,work,2008,False,0,37.0,1
male,0,1.0,36.0,2008.0,Full-time,0.0,Student (Specialist),Українська;Русский;English,0,0,work,2008,False,0,38.0,3
male,1,1.0,284.0,2011.0,Full-time,6.0,Student (Specialist),Українська;English,1,5,university,False,False,0,37.0,2
male,0,1.0,247.0,2013.0,Full-time,7.0,Student (Specialist),Українська,3,6,university,False,False,0,34.0,1
female,1,1.0,76.0,2004.0,Full-time,0.0,Student (Specialist),False,0,0,work,2007,False,1,37.0,1
male,0,1.0,75.0,2017.0,Distance Learning,6.0,Student (Bachelor's),Українська;English,1,6,university,False,False,1,32.0,2
male,1,1.0,105.0,2011.0,Distance Learning,4.0,Student (Specialist),Українська,1,2,university,False,False,0,39.0,1
female,0,1.0,199.0,2016.0,Full-time,1.0,Alumnus (Bachelor's),Українська;English,0,2,university,False,False,1,31.0,2
female,1,1.0,218.0,2010.0,Full-time,4.0,Alumnus (Specialist),Українська,0,0,university,False,False,1,37.0,1
male,0,1.0,1250.0,0.0,Full-time,6.0,Student (Specialist),Українська;English,6,2,work,2018,False,1,34.0,2
female,0,1.0,205.0,2009.0,Full-time,4.0,Student (Specialist),Українська,False,False,university,False,False,1,37.0,1
female,1,1.0,63.0,2010.0,Distance Learning,4.0,Alumnus (Specialist),Українська,0,6,university,False,False,1,37.0,1
female,1,1.0,180.0,2013.0,Full-time,0.0,Alumnus (Specialist),Українська,2,0,university,False,False,1,37.0,1
